,Datetime,monoterpene_flux,methanol_flux,acetone_flux,acetaldehyde_flux
0,2010-05-28 17:22:00,47.81872,-2.07877,-1.91743,-1.50219
1,2010-05-28 20:22:00,9.34395,0.66285,-3.22838,0.39991
2,2010-05-28 23:22:00,10.63157,-1.77225,-3.1193,-0.03744
3,2010-05-29 02:22:00,12.27364,-2.02885,-2.26063,-0.53726
4,2010-05-29 05:22:00,19.89456,-2.66424,,0.64042
5,2010-05-29 08:22:00,31.5082,10.44398,6.67023,10.49693
6,2010-05-29 11:22:00,12.55916,16.89274,5.26526,2.14859
7,2010-05-29 14:22:00,8.66802,,9.87562,3.15656
8,2010-05-29 17:22:00,8.89901,-6.48789,1.81952,0.87215
9,2010-05-30 02:22:00,11.00827,0.20448,-2.521,-0.17034
10,2010-05-30 05:22:00,8.6161,-4.57093,-3.84443,2.20525
11,2010-05-30 08:22:00,,5.57043,-3.02505,1.19894
12,2010-05-30 11:22:00,46.20014,20.85436,1.7283,10.26371
13,2010-05-30 14:22:00,30.82751,47.2308,,-2.41934
14,2010-05-30 17:22:00,28.98316,,5.41796,0.59135
15,2010-05-30 20:22:00,17.78959,19.68643,4.07865,2.50354
16,2010-05-30 23:22:00,18.61194,10.79279,2.74524,-0.26101
17,2010-05-31 05:22:00,28.1567,7.6203,0.45906,
18,2010-05-31 08:22:00,50.64608,26.30825,12.34228,
19,2010-05-31 11:22:00,,14.98941,-2.58511,4.80365
20,2010-05-31 14:22:00,54.60981,43.83217,12.68789,1.01589
21,2010-05-31 17:22:00,56.38548,34.5635,7.90648,-0.31952
22,2010-05-31 20:22:00,20.30618,24.51628,9.12117,7.13183
23,2010-06-01 05:22:00,72.18297,53.71801,25.28892,13.1527
24,2010-06-01 08:22:00,32.48285,28.05551,5.05461,13.41211
25,2010-06-01 11:22:00,44.32782,44.19043,17.50203,
26,2010-06-01 17:22:00,138.54898,53.0935,16.24152,19.65111
27,2010-06-01 20:22:00,25.00049,17.06792,9.83236,2.11588
28,2010-06-01 23:22:00,15.83212,18.336,7.45991,2.58113
29,2010-06-02 02:22:00,32.28553,25.601,6.41886,5.01423
30,2010-06-02 05:22:00,31.20125,35.23508,17.45515,4.34365
31,2010-06-11 11:22:00,56.01932,44.15847,21.81679,2.45634
32,2010-06-11 14:22:00,67.40488,49.15765,27.23689,13.00571
33,2010-06-11 17:22:00,,11.50668,17.34245,4.34492
34,2010-06-11 20:22:00,86.61368,-30.74453,6.19634,3.05351
35,2010-06-11 23:22:00,93.66349,,-5.47665,-0.31868
36,2010-06-12 02:22:00,62.22397,-39.47873,,-3.42043
37,2010-06-12 05:22:00,42.47406,-42.84676,,-1.82125
